Ano,Qtd_Eventos_Previstos
1992,-4
1993,-2
1994,1
1995,3
1996,5
1997,8
1998,10
2000,15
2001,18
2002,21
2003,25
2004,28
2005,32
2006,36
2007,41
2008,46
2009,51
2010,56
2011,63
2012,69
2013,76
2014,84
2015,92
2016,100
2017,110
2018,119
2019,130
2020,141
2021,153
2022,166
2023,179
2024,193
2025,208
2026,224
2027,241
2028,258
2029,277
2030,296
2031,316
2032,338
2033,360
2034,383
2035,408
2036,434
2037,460
2038,488
2039,517
2040,548
2041,579
2042,612
2043,646
2044,681
2045,718
2046,756
2047,795
2048,836
2049,879
2050,923
2051,968
2052,1015
2053,1063
2054,1113
2055,1165
2056,1218
2057,1273
2058,1329
2059,1388
2060,1448
2061,1509
2062,1573
2063,1638
2064,1706
2065,1775
2066,1846
2067,1919
2068,1993
2069,2070
2070,2149
2071,2230
2072,2313
2073,2398
2074,2485
2075,2575
2076,2666
2077,2760
2078,2856
2079,2954
2080,3054
2081,3157
2082,3262
2083,3369
2084,3479
2085,3591
2086,3706
2087,3823
2088,3942
2089,4064
2090,4189
2091,4316
2092,4446
2093,4578
